discipline;lectures;seminars;practice;module_1;module_2;module_3;module_4
Архитектура предприятия;12.0;38.0;;False;False;True;True
Теория и история менеджмента;26.0;14.0;;True;True;False;False
Финансовый и управленческий учет;28.0;12.0;;True;False;True;True
Моделирование бизнес-процессов;12.0;18.0;;True;True;False;True
Стратегический менеджмент;24.0;16.0;;True;True;True;False
Этика бизнеса и корпоративная социальная ответственность;20.0;10.0;;False;True;True;True
Количественные методы принятия управленческих решений;14.0;16.0;;False;True;True;True
ИТ-инфраструктура для бизнеса;14.0;16.0;;True;True;True;False
Интеллектуальные информационные системы;16.0;24.0;0.0;False;False;True;True
Вариативная часть профиля;16.0;14.0;;True;False;False;False
ИС в бизнесе (2 из 6);16.0;14.0;;True;False;False;False
Цифровые инновации и бизнес в сфере культуры;16.0;14.0;;True;False;True;True
Формирование потребительских стратегий;12.0;12.0;;True;False;True;True
Цифровая трансформация и новые бизнес-модели;12.0;12.0;;True;False;True;True
Технологии анализа данных в бизнесе и управлении (2 из 6);14.0;16.0;;True;False;True;True
Анализ и прогнозирование однородных временных рядов;14.0;16.0;;True;False;True;True
Нечетко-вероятностный анализ данных;14.0;16.0;;True;False;True;True
Введение в машинное обучение;14.0;16.0;;True;False;True;True
Общефакультетский пул дисциплин по выбору (1 из 3);30.0;10.0;;True;True;True;False
Управление знаниями;30.0;10.0;;True;True;True;False
Деловые коммуникации;30.0;10.0;;True;True;True;False
Риск-менеджмент;30.0;10.0;;True;True;True;False
Практики, проектная и/или научно-исследовательская работа;;20.0;;True;True;False;False
Научно-исследовательский/Проектный семинар;;20.0;;True;True;False;True
"Проектный семинар ""ИТ-консалтинг""";;20.0;;True;True;False;True
Курсовые работы;;0.0;;True;True;True;False
